Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR9607749,2022-04-19 22:42:31,2022-05-20 08:23:12,14999825,4499947500,14999825,300,1648,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR009/9607/ERR9607749/ERR9607749.lite.1,ERX9157982,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696616,SAMEA14093501,simple,408170,human gut metagenome,SAMEA14093501,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12781923,,public,16CA416753FD8F33B5B6D4A1D6394032,6EBF4771912B12C67219B88DD802EA69
ERR9609794,2022-04-19 22:42:32,2022-05-20 08:25:13,19399996,5819998800,19399996,300,2208,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR009/9609/ERR9609794/ERR9609794.lite.1,ERX9160027,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696617,SAMEA14093502,simple,408170,human gut metagenome,SAMEA14093502,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12782154,,public,07AD37630D90AEF23F64DDDD87C71407,5D4DEDEE8CCF392687EF88EF1BF2E7B2
ERR9607193,2022-04-19 22:42:31,2022-05-20 08:22:49,16239126,4871737800,16239126,300,1807,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR009/9607/ERR9607193/ERR9607193.lite.1,ERX9157426,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696618,SAMEA14093503,simple,408170,human gut metagenome,SAMEA14093503,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12781896,,public,25857258CBCA01F5B8AE8A611588A076,B69CAB04843EEEF0974D59B60C3F2B39
ERR9610759,2022-04-19 22:42:33,2022-05-20 08:25:27,18121509,5436452700,18121509,300,2131,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR009/9610/ERR9610759/ERR9610759.lite.1,ERX9160989,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696620,SAMEA14093505,simple,408170,human gut metagenome,SAMEA14093505,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12782211,,public,54F1DB9026AD0FA7D511ED11750B67F8,26C88490107CCF46633AF4DA86363D9E
ERR9610761,2022-04-19 22:42:33,2022-05-20 08:24:51,17628685,5288605500,17628685,300,1978,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR009/9610/ERR9610761/ERR9610761.lite.1,ERX9160991,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696621,SAMEA14093506,simple,408170,human gut metagenome,SAMEA14093506,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12782213,,public,97D36243CECA97721C6E4F613C78579F,14FECB4B360199EEFB611D42A5281D12
ERR9610768,2022-04-19 22:42:33,2022-05-20 08:26:29,21817245,6545173500,21817245,300,2477,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR009/9610/ERR9610768/ERR9610768.lite.1,ERX9160998,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696622,SAMEA14093507,simple,408170,human gut metagenome,SAMEA14093507,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12782218,,public,C76602FB6F28F6CA563396950BBCB494,0F1CD5C9AC48F25DDE2423F8C9521BF8
ERR9610823,2022-04-19 22:42:34,2022-05-20 08:21:47,12029922,3608976600,12029922,300,1353,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR009/9610/ERR9610823/ERR9610823.lite.1,ERX9161053,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696623,SAMEA14093508,simple,408170,human gut metagenome,SAMEA14093508,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12782222,,public,5ED064F22BE2506266D4B44820EE77CF,CBC1C3A27CF1FF12CAC2977053F7F529
ERR9607856,2022-04-19 22:42:31,2022-05-20 08:27:58,20081068,6024320400,20081068,300,2194,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR009/9607/ERR9607856/ERR9607856.lite.1,ERX9158089,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696627,SAMEA14093512,simple,408170,human gut metagenome,SAMEA14093512,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12782036,,public,336DF301443A9F160427E8264CB3A90D,8366C6978C2F7858E771F1D8C4E8127F
ERR9607115,2022-04-19 22:42:31,2022-05-20 08:22:07,12637578,3791273400,12637578,300,1422,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR009/9607/ERR9607115/ERR9607115.lite.1,ERX9157347,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696630,SAMEA14093515,simple,408170,human gut metagenome,SAMEA14093515,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12781800,,public,0B3D7091242B869BF5147E812DEC16A2,6FDA1A7504B83F0331C29C22385C609E
ERR9607191,2022-04-19 22:42:31,2022-05-20 08:25:17,17587993,5276397900,17587993,300,1990,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR009/9607/ERR9607191/ERR9607191.lite.1,ERX9157424,,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023883,PRJEB21612,,551983,ERS11696636,SAMEA14093521,simple,408170,human gut metagenome,SAMEA14093521,,,,,,,no,,,,,SHENZHEN PUENSUM GENETECH INSTITUTE,ERA12781894,,public,DCD83FBE1FDAC86DF4F51EF5F90685B7,A527BDE523C1CEE86517CD7EAD30E1A4
